REGION,FUEL,YEAR,VALUE
Globe,ALU,2010,85.3
Globe,ALU,2011,88.6853
Globe,ALU,2012,92.0705
Globe,ALU,2013,95.4558
Globe,ALU,2014,98.841
Globe,ALU,2015,102.2262
Globe,ALU,2016,105.6115
Globe,ALU,2017,108.9968
Globe,ALU,2018,112.382
Globe,ALU,2019,115.7673
Globe,ALU,2020,119.1525
Globe,ALU,2021,122.5378
Globe,ALU,2022,125.923
Globe,ALU,2023,129.3082
Globe,ALU,2024,132.6935
Globe,ALU,2025,136.0788
Globe,ALU,2026,139.464
Globe,ALU,2027,142.8493
Globe,ALU,2028,146.2345
Globe,ALU,2029,149.6198
Globe,ALU,2030,153.005
Globe,ALU,2031,156.3903
Globe,ALU,2032,159.7755
Globe,ALU,2033,163.1608
Globe,ALU,2034,166.546
Globe,ALU,2035,169.9313
Globe,ALU,2036,173.3165
Globe,ALU,2037,176.7018
Globe,ALU,2038,180.087
Globe,ALU,2039,183.4723
Globe,ALU,2040,186.8575
Globe,ALU,2041,190.2428
Globe,ALU,2042,193.628
Globe,ALU,2043,197.0133
Globe,ALU,2044,200.3985
Globe,ALU,2045,203.7838
Globe,ALU,2046,207.169
Globe,ALU,2047,210.5543
Globe,ALU,2048,213.9395
Globe,ALU,2049,217.3248
Globe,ALU,2050,220.71
Globe,ALU,2051,220.71
Globe,ALU,2052,220.71
Globe,ALU,2053,220.71
Globe,ALU,2054,220.71
Globe,ALU,2055,220.71
Globe,ALU,2056,220.71
Globe,ALU,2057,220.71
Globe,ALU,2058,220.71
Globe,ALU,2059,220.71
Globe,ALU,2060,220.71
Globe,ALU,2061,220.71
Globe,ALU,2062,220.71
Globe,ALU,2063,220.71
Globe,ALU,2064,220.71
Globe,ALU,2065,220.71
Globe,ALU,2066,220.71
Globe,ALU,2067,220.71
Globe,ALU,2068,220.71
Globe,ALU,2069,220.71
Globe,ALU,2070,220.71
Globe,C1_F_MOT,2010,86.0
Globe,C1_F_MOT,2011,87.8
Globe,C1_F_MOT,2012,89.5
Globe,C1_F_MOT,2013,91.2
Globe,C1_F_MOT,2014,93.0
Globe,C1_F_MOT,2015,94.7
Globe,C1_F_MOT,2016,96.5
Globe,C1_F_MOT,2017,98.2
Globe,C1_F_MOT,2018,100.0
Globe,C1_F_MOT,2019,101.8
Globe,C1_F_MOT,2020,103.5
Globe,C1_F_MOT,2021,106.9
Globe,C1_F_MOT,2022,110.2
Globe,C1_F_MOT,2023,113.5
Globe,C1_F_MOT,2024,116.9
Globe,C1_F_MOT,2025,120.2
Globe,C1_F_MOT,2026,123.6
Globe,C1_F_MOT,2027,127.0
Globe,C1_F_MOT,2028,130.3
Globe,C1_F_MOT,2029,133.7
Globe,C1_F_MOT,2030,137.1
Globe,C1_F_MOT,2031,140.6
Globe,C1_F_MOT,2032,144.0
Globe,C1_F_MOT,2033,147.4
Globe,C1_F_MOT,2034,150.9
Globe,C1_F_MOT,2035,154.4
Globe,C1_F_MOT,2036,157.9
Globe,C1_F_MOT,2037,161.4
Globe,C1_F_MOT,2038,164.9
Globe,C1_F_MOT,2039,168.5
Globe,C1_F_MOT,2040,172.0
Globe,C1_F_MOT,2041,175.6
Globe,C1_F_MOT,2042,179.3
Globe,C1_F_MOT,2043,182.9
Globe,C1_F_MOT,2044,186.6
Globe,C1_F_MOT,2045,190.3
Globe,C1_F_MOT,2046,194.0
Globe,C1_F_MOT,2047,197.8
Globe,C1_F_MOT,2048,201.6
Globe,C1_F_MOT,2049,205.4
Globe,C1_F_MOT,2050,209.3
Globe,C1_F_MOT,2051,209.3
Globe,C1_F_MOT,2052,209.3
Globe,C1_F_MOT,2053,209.3
Globe,C1_F_MOT,2054,209.3
Globe,C1_F_MOT,2055,209.3
Globe,C1_F_MOT,2056,209.3
Globe,C1_F_MOT,2057,209.3
Globe,C1_F_MOT,2058,209.3
Globe,C1_F_MOT,2059,209.3
Globe,C1_F_MOT,2060,209.3
Globe,C1_F_MOT,2061,209.3
Globe,C1_F_MOT,2062,209.3
Globe,C1_F_MOT,2063,209.3
Globe,C1_F_MOT,2064,209.3
Globe,C1_F_MOT,2065,209.3
Globe,C1_F_MOT,2066,209.3
Globe,C1_F_MOT,2067,209.3
Globe,C1_F_MOT,2068,209.3
Globe,C1_F_MOT,2069,209.3
Globe,C1_F_MOT,2070,209.3
Globe,C1_F_RD,2010,18.686
Globe,C1_F_RD,2011,19.2376
Globe,C1_F_RD,2012,19.7892
Globe,C1_F_RD,2013,20.3408
Globe,C1_F_RD,2014,20.8924
Globe,C1_F_RD,2015,21.444
Globe,C1_F_RD,2016,21.8908
Globe,C1_F_RD,2017,22.3376
Globe,C1_F_RD,2018,22.7844
Globe,C1_F_RD,2019,23.2312
Globe,C1_F_RD,2020,23.678
Globe,C1_F_RD,2021,24.063
Globe,C1_F_RD,2022,24.448
Globe,C1_F_RD,2023,24.833
Globe,C1_F_RD,2024,25.218
Globe,C1_F_RD,2025,25.603
Globe,C1_F_RD,2026,25.8716
Globe,C1_F_RD,2027,26.1402
Globe,C1_F_RD,2028,26.4088
Globe,C1_F_RD,2029,26.6774
Globe,C1_F_RD,2030,26.946
Globe,C1_F_RD,2031,27.258
Globe,C1_F_RD,2032,27.57
Globe,C1_F_RD,2033,27.882
Globe,C1_F_RD,2034,28.194
Globe,C1_F_RD,2035,28.506
Globe,C1_F_RD,2036,28.865
Globe,C1_F_RD,2037,29.224
Globe,C1_F_RD,2038,29.583
Globe,C1_F_RD,2039,29.942
Globe,C1_F_RD,2040,30.301
Globe,C1_F_RD,2041,30.6116
Globe,C1_F_RD,2042,30.9222
Globe,C1_F_RD,2043,31.2328
Globe,C1_F_RD,2044,31.5434
Globe,C1_F_RD,2045,31.854
Globe,C1_F_RD,2046,32.122
Globe,C1_F_RD,2047,32.39
Globe,C1_F_RD,2048,32.658
Globe,C1_F_RD,2049,32.926
Globe,C1_F_RD,2050,33.194
Globe,C1_F_RD,2051,33.194
Globe,C1_F_RD,2052,33.194
Globe,C1_F_RD,2053,33.194
Globe,C1_F_RD,2054,33.194
Globe,C1_F_RD,2055,33.194
Globe,C1_F_RD,2056,33.194
Globe,C1_F_RD,2057,33.194
Globe,C1_F_RD,2058,33.194
Globe,C1_F_RD,2059,33.194
Globe,C1_F_RD,2060,33.194
Globe,C1_F_RD,2061,33.194
Globe,C1_F_RD,2062,33.194
Globe,C1_F_RD,2063,33.194
Globe,C1_F_RD,2064,33.194
Globe,C1_F_RD,2065,33.194
Globe,C1_F_RD,2066,33.194
Globe,C1_F_RD,2067,33.194
Globe,C1_F_RD,2068,33.194
Globe,C1_F_RD,2069,33.194
Globe,C1_F_RD,2070,33.194
Globe,C1_F_RL,2010,9.89
Globe,C1_F_RL,2011,10.1
Globe,C1_F_RL,2012,10.32
Globe,C1_F_RL,2013,10.53
Globe,C1_F_RL,2014,10.75
Globe,C1_F_RL,2015,10.96
Globe,C1_F_RL,2016,11.21
Globe,C1_F_RL,2017,11.45
Globe,C1_F_RL,2018,11.69
Globe,C1_F_RL,2019,11.93
Globe,C1_F_RL,2020,12.17
Globe,C1_F_RL,2021,12.44
Globe,C1_F_RL,2022,12.71
Globe,C1_F_RL,2023,12.98
Globe,C1_F_RL,2024,13.25
Globe,C1_F_RL,2025,13.53
Globe,C1_F_RL,2026,13.83
Globe,C1_F_RL,2027,14.13
Globe,C1_F_RL,2028,14.44
Globe,C1_F_RL,2029,14.74
Globe,C1_F_RL,2030,15.05
Globe,C1_F_RL,2031,15.39
Globe,C1_F_RL,2032,15.73
Globe,C1_F_RL,2033,16.07
Globe,C1_F_RL,2034,16.41
Globe,C1_F_RL,2035,16.75
Globe,C1_F_RL,2036,17.32
Globe,C1_F_RL,2037,17.89
Globe,C1_F_RL,2038,18.46
Globe,C1_F_RL,2039,19.03
Globe,C1_F_RL,2040,19.6
Globe,C1_F_RL,2041,20.17
Globe,C1_F_RL,2042,20.74
Globe,C1_F_RL,2043,21.31
Globe,C1_F_RL,2044,21.88
Globe,C1_F_RL,2045,22.45
Globe,C1_F_RL,2046,23.02
Globe,C1_F_RL,2047,23.59
Globe,C1_F_RL,2048,24.16
Globe,C1_F_RL,2049,24.73
Globe,C1_F_RL,2050,25.29
Globe,C1_F_RL,2051,25.29
Globe,C1_F_RL,2052,25.29
Globe,C1_F_RL,2053,25.29
Globe,C1_F_RL,2054,25.29
Globe,C1_F_RL,2055,25.29
Globe,C1_F_RL,2056,25.29
Globe,C1_F_RL,2057,25.29
Globe,C1_F_RL,2058,25.29
Globe,C1_F_RL,2059,25.29
Globe,C1_F_RL,2060,25.29
Globe,C1_F_RL,2061,25.29
Globe,C1_F_RL,2062,25.29
Globe,C1_F_RL,2063,25.29
Globe,C1_F_RL,2064,25.29
Globe,C1_F_RL,2065,25.29
Globe,C1_F_RL,2066,25.29
Globe,C1_F_RL,2067,25.29
Globe,C1_F_RL,2068,25.29
Globe,C1_F_RL,2069,25.29
Globe,C1_F_RL,2070,25.29
Globe,CEM,2010,2713.6364
Globe,CEM,2011,2737.0455
Globe,CEM,2012,2760.4546
Globe,CEM,2013,2783.8637
Globe,CEM,2014,2807.2728
Globe,CEM,2015,2830.6819
Globe,CEM,2016,2854.0909
Globe,CEM,2017,2877.5
Globe,CEM,2018,2900.9091
Globe,CEM,2019,2924.3182
Globe,CEM,2020,2947.7273
Globe,CEM,2021,2971.1364
Globe,CEM,2022,2994.5455
Globe,CEM,2023,3017.9546
