REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,25.0
Globe,ALURCPLANT,25.0
Globe,ALURECYCLE,1.0
Globe,BACKSTOP,1.0
Globe,C1BFRDF00,12.0
Globe,C1BMBRFH1,15.0
Globe,C1BMBRFN1,15.0
Globe,C1BMCHP00,35.0
Globe,C1BMHTF03,20.0
Globe,C1BMIGPCS,30.0
Globe,C1BMLP000,25.0
Globe,C1BMSCP00,25.0
Globe,C1CO00I00,50.0
Globe,C1COBRFH1,15.0
Globe,C1COCHP00,40.0
Globe,C1COHTF03,20.0
Globe,C1COIGP00,40.0
Globe,C1COLP000,20.0
Globe,C1COSCP00,40.0
Globe,C1COSCPCS,40.0
Globe,C1COSF000,20.0
Globe,C1ELEFF00,1.0
Globe,C1ELHGP00,6.0
Globe,C1ELMHP00,1.0
Globe,C1ELRDF00,12.0
Globe,C1ELRLF00,32.0
Globe,C1ENDA1CS,20.0
Globe,C1ENDA2CS,15.0
Globe,C1GOCVP00,40.0
Globe,C1GOHTF03,25.0
Globe,C1HFGCP00,30.0
Globe,C1HFGCPCH,25.0
Globe,C1HFMRF00,1.0
Globe,C1HPASF01,20.0
Globe,C1HPINF0I,20.0
Globe,C1HTOOTFI,1.0
Globe,C1HTOOTFR,1.0
Globe,C1HYDMP00,80.0
Globe,C1HYMIP00,80.0
Globe,C1LFAVF00,1.0
Globe,C1LFBRFH1,15.0
Globe,C1LFBRFN1,15.0
Globe,C1LFCCP00,30.0
Globe,C1LFRDF00,12.0
Globe,C1LFRLF00,32.0
Globe,C1MHMRF00,1.0
Globe,C1NG00I00,50.0
Globe,C1NGBRFH1,15.0
Globe,C1NGBRFN1,15.0
Globe,C1NGCCP00,30.0
Globe,C1NGCCPCH,25.0
Globe,C1NGCCPCS,30.0
Globe,C1NGGCP00,30.0
Globe,C1NGGCPCH,25.0
Globe,C1NGHTF03,20.0
Globe,C1NGLP000,20.0
Globe,C1NU00I00,1.0
Globe,C1NULWP00,50.0
Globe,C1OCCVP00,25.0
Globe,C1OI00I00,50.0
Globe,C1OIHTF03,20.0
Globe,C1OIRFP00,40.0
Globe,C1SOC1P00,30.0
Globe,C1SOTHF00,20.0
Globe,C1SOV1P00,25.0
Globe,C1SOV2P00,25.0
Globe,C1WDOFP00,25.0
Globe,C1WDONP00,25.0
Globe,CEMPLANT,25.0
Globe,CEMCSPLANT,25.0
Globe,FERTPLANT,30.0
Globe,FRSTFACTOR,1.0
Globe,LA,1.0
Globe,LA1,1.0
Globe,LA1_i,1.0
Globe,LA1_i_PROD,1.0
Globe,LA1_PROD,1.0
Globe,LA2,1.0
Globe,LA2_PROD,1.0
Globe,LA3,1.0
Globe,LA4,1.0
Globe,LA5,1.0
Globe,LandRes,1.0
Globe,LF,1.0
Globe,LF1,1.0
Globe,LF2,1.0
Globe,LF2_PROD,1.0
Globe,LO,1.0
Globe,MFOOFACTOR,1.0
Globe,PAPELPLANT,20.0
Globe,PAPPLANT,20.0
Globe,PETAPLANT,30.0
Globe,PETBELPLANT,30.0
Globe,PETBPLANT,30.0
Globe,STEHGPLANT,20.0
Globe,STEPLANT,20.0
Globe,TECHBIOCONV,1.0
Globe,VFOOFACTOR,1.0
Globe,XALUMINE,1.0
Globe,XCEMMINE,1.0
Globe,XPHOMINE,1.0
Globe,XPOTMINE,1.0
Globe,XSTEMINE,1.0
