REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,ID,C1_F_CLS,2010,22.204351
Globe,IN,C1_F_CLS,2010,18.89732
Globe,IP,C1_F_CLS,2010,6.141629
Globe,ID,C1_F_CLS,2011,23.17852
Globe,IN,C1_F_CLS,2011,19.7264
Globe,IP,C1_F_CLS,2011,6.41108
Globe,ID,C1_F_CLS,2012,24.123455
Globe,IN,C1_F_CLS,2012,20.530600000000003
Globe,IP,C1_F_CLS,2012,6.672445000000001
Globe,ID,C1_F_CLS,2013,25.039531999999998
Globe,IN,C1_F_CLS,2013,21.31024
Globe,IP,C1_F_CLS,2013,6.925828
Globe,ID,C1_F_CLS,2014,25.926187
Globe,IN,C1_F_CLS,2014,22.064840000000004
Globe,IP,C1_F_CLS,2014,7.171073000000001
Globe,ID,C1_F_CLS,2015,26.783608
Globe,IN,C1_F_CLS,2015,22.794560000000004
Globe,IP,C1_F_CLS,2015,7.408232000000001
Globe,ID,C1_F_CLS,2016,27.817983999999996
Globe,IN,C1_F_CLS,2016,23.67488
Globe,IP,C1_F_CLS,2016,7.694336
Globe,ID,C1_F_CLS,2017,28.845169
Globe,IN,C1_F_CLS,2017,24.549080000000004
Globe,IP,C1_F_CLS,2017,7.978451000000001
Globe,ID,C1_F_CLS,2018,29.847255999999998
Globe,IN,C1_F_CLS,2018,25.401920000000004
Globe,IP,C1_F_CLS,2018,8.255624000000001
Globe,ID,C1_F_CLS,2019,30.845911999999995
Globe,IN,C1_F_CLS,2019,26.25184
Globe,IP,C1_F_CLS,2019,8.531848
Globe,ID,C1_F_CLS,2020,31.848092999999995
Globe,IN,C1_F_CLS,2020,27.10476
Globe,IP,C1_F_CLS,2020,8.809047
Globe,ID,C1_F_CLS,2021,32.686854999999994
Globe,IN,C1_F_CLS,2021,27.8186
Globe,IP,C1_F_CLS,2021,9.041045
Globe,ID,C1_F_CLS,2022,33.526416
Globe,IN,C1_F_CLS,2022,28.533120000000004
Globe,IP,C1_F_CLS,2022,9.273264000000001
Globe,ID,C1_F_CLS,2023,34.368139
Globe,IN,C1_F_CLS,2023,29.249480000000002
Globe,IP,C1_F_CLS,2023,9.506081
Globe,ID,C1_F_CLS,2024,35.211929999999995
Globe,IN,C1_F_CLS,2024,29.9676
Globe,IP,C1_F_CLS,2024,9.73947
Globe,ID,C1_F_CLS,2025,36.057742
Globe,IN,C1_F_CLS,2025,30.68744
Globe,IP,C1_F_CLS,2025,9.973418
Globe,ID,C1_F_CLS,2026,36.948344999999996
Globe,IN,C1_F_CLS,2026,31.445400000000003
Globe,IP,C1_F_CLS,2026,10.219755000000001
Globe,ID,C1_F_CLS,2027,37.848676999999995
Globe,IN,C1_F_CLS,2027,32.21164
Globe,IP,C1_F_CLS,2027,10.468783
Globe,ID,C1_F_CLS,2028,38.746846999999995
Globe,IN,C1_F_CLS,2028,32.976040000000005
Globe,IP,C1_F_CLS,2028,10.717213000000001
Globe,ID,C1_F_CLS,2029,39.646944
Globe,IN,C1_F_CLS,2029,33.74208
Globe,IP,C1_F_CLS,2029,10.966175999999999
Globe,ID,C1_F_CLS,2030,40.548639
Globe,IN,C1_F_CLS,2030,34.50948
Globe,IP,C1_F_CLS,2030,11.215581
Globe,ID,C1_F_CLS,2031,41.536297
Globe,IN,C1_F_CLS,2031,35.35004
Globe,IP,C1_F_CLS,2031,11.488763
Globe,ID,C1_F_CLS,2032,42.52564699999999
Globe,IN,C1_F_CLS,2032,36.19204
Globe,IP,C1_F_CLS,2032,11.762412999999999
Globe,ID,C1_F_CLS,2033,43.516501
Globe,IN,C1_F_CLS,2033,37.035320000000006
Globe,IP,C1_F_CLS,2033,12.036479000000002
Globe,ID,C1_F_CLS,2034,44.507684
Globe,IN,C1_F_CLS,2034,37.87888
Globe,IP,C1_F_CLS,2034,12.310636
Globe,ID,C1_F_CLS,2035,45.49576499999999
Globe,IN,C1_F_CLS,2035,38.7198
Globe,IP,C1_F_CLS,2035,12.583935
Globe,ID,C1_F_CLS,2036,46.320333
Globe,IN,C1_F_CLS,2036,39.42156
Globe,IP,C1_F_CLS,2036,12.812007
Globe,ID,C1_F_CLS,2037,47.146263999999995
Globe,IN,C1_F_CLS,2037,40.124480000000005
Globe,IP,C1_F_CLS,2037,13.040456
Globe,ID,C1_F_CLS,2038,47.973558
Globe,IN,C1_F_CLS,2038,40.82856
Globe,IP,C1_F_CLS,2038,13.269282
Globe,ID,C1_F_CLS,2039,48.80198
Globe,IN,C1_F_CLS,2039,41.53360000000001
Globe,IP,C1_F_CLS,2039,13.498420000000001
Globe,ID,C1_F_CLS,2040,49.63153
Globe,IN,C1_F_CLS,2040,42.2396
Globe,IP,C1_F_CLS,2040,13.727870000000001
Globe,ID,C1_F_CLS,2041,50.38823
Globe,IN,C1_F_CLS,2041,42.8836
Globe,IP,C1_F_CLS,2041,13.93717
Globe,ID,C1_F_CLS,2042,51.131676
Globe,IN,C1_F_CLS,2042,43.51632000000001
Globe,IP,C1_F_CLS,2042,14.142804000000002
Globe,ID,C1_F_CLS,2043,51.892511999999996
Globe,IN,C1_F_CLS,2043,44.16384
Globe,IP,C1_F_CLS,2043,14.353248
Globe,ID,C1_F_CLS,2044,52.654194
Globe,IN,C1_F_CLS,2044,44.81208
Globe,IP,C1_F_CLS,2044,14.563926
Globe,ID,C1_F_CLS,2045,53.418414
Globe,IN,C1_F_CLS,2045,45.46248
Globe,IP,C1_F_CLS,2045,14.775306
Globe,ID,C1_F_CLS,2046,54.17506699999999
Globe,IN,C1_F_CLS,2046,46.10644
Globe,IP,C1_F_CLS,2046,14.984593
Globe,ID,C1_F_CLS,2047,54.93218999999999
Globe,IN,C1_F_CLS,2047,46.7508
Globe,IP,C1_F_CLS,2047,15.19401
Globe,ID,C1_F_CLS,2048,55.682545
Globe,IN,C1_F_CLS,2048,47.3894
Globe,IP,C1_F_CLS,2048,15.401555
Globe,ID,C1_F_CLS,2049,56.432570999999996
Globe,IN,C1_F_CLS,2049,48.02772
Globe,IP,C1_F_CLS,2049,15.609009
Globe,ID,C1_F_CLS,2050,57.186873999999996
Globe,IN,C1_F_CLS,2050,48.66968
Globe,IP,C1_F_CLS,2050,15.817646
Globe,ID,C1_F_CLS,2051,57.186873999999996
Globe,IN,C1_F_CLS,2051,48.66968
Globe,IP,C1_F_CLS,2051,15.817646
Globe,ID,C1_F_CLS,2052,57.186873999999996
Globe,IN,C1_F_CLS,2052,48.66968
Globe,IP,C1_F_CLS,2052,15.817646
Globe,ID,C1_F_CLS,2053,57.186873999999996
Globe,IN,C1_F_CLS,2053,48.66968
Globe,IP,C1_F_CLS,2053,15.817646
Globe,ID,C1_F_CLS,2054,57.186873999999996
Globe,IN,C1_F_CLS,2054,48.66968
Globe,IP,C1_F_CLS,2054,15.817646
Globe,ID,C1_F_CLS,2055,57.186873999999996
Globe,IN,C1_F_CLS,2055,48.66968
Globe,IP,C1_F_CLS,2055,15.817646
Globe,ID,C1_F_CLS,2056,57.186873999999996
Globe,IN,C1_F_CLS,2056,48.66968
Globe,IP,C1_F_CLS,2056,15.817646
Globe,ID,C1_F_CLS,2057,57.186873999999996
Globe,IN,C1_F_CLS,2057,48.66968
Globe,IP,C1_F_CLS,2057,15.817646
Globe,ID,C1_F_CLS,2058,57.186873999999996
Globe,IN,C1_F_CLS,2058,48.66968
Globe,IP,C1_F_CLS,2058,15.817646
Globe,ID,C1_F_CLS,2059,57.186873999999996
Globe,IN,C1_F_CLS,2059,48.66968
Globe,IP,C1_F_CLS,2059,15.817646
Globe,ID,C1_F_CLS,2060,57.186873999999996
Globe,IN,C1_F_CLS,2060,48.66968
Globe,IP,C1_F_CLS,2060,15.817646
Globe,ID,C1_F_HEA_I,2010,12.22304432
Globe,IN,C1_F_HEA_I,2010,12.22304432
Globe,IP,C1_F_HEA_I,2010,2.22431136
Globe,ID,C1_F_HEA_I,2011,12.3933486
Globe,IN,C1_F_HEA_I,2011,12.3933486
Globe,IP,C1_F_HEA_I,2011,2.2553028000000004
Globe,ID,C1_F_HEA_I,2012,12.56365288
Globe,IN,C1_F_HEA_I,2012,12.56365288
Globe,IP,C1_F_HEA_I,2012,2.28629424
Globe,ID,C1_F_HEA_I,2013,12.73395716
Globe,IN,C1_F_HEA_I,2013,12.73395716
Globe,IP,C1_F_HEA_I,2013,2.31728568
Globe,ID,C1_F_HEA_I,2014,12.90430727
Globe,IN,C1_F_HEA_I,2014,12.90430727
Globe,IP,C1_F_HEA_I,2014,2.34828546
Globe,ID,C1_F_HEA_I,2015,13.07461155
Globe,IN,C1_F_HEA_I,2015,13.07461155
Globe,IP,C1_F_HEA_I,2015,2.3792769000000002
Globe,ID,C1_F_HEA_I,2016,13.244915829999998
Globe,IN,C1_F_HEA_I,2016,13.244915829999998
Globe,IP,C1_F_HEA_I,2016,2.41026834
Globe,ID,C1_F_HEA_I,2017,13.41522011
Globe,IN,C1_F_HEA_I,2017,13.41522011
Globe,IP,C1_F_HEA_I,2017,2.4412597799999998
